key,rank
claude-3-7-sonnet,5
gpt-4o,8
gemini-2-5-pro,4
gemini-2-5-flash,14
deepseek-r1,11
deepseek-v3,18
claude-sonnet-4-6,6
claude-opus-4-6,3
grok-4,7
qwen3-max,10
llama-4-maverick,16
mistral-medium-3,22
gemini-3-1-pro,2
gpt-5-4,1
